PID,Vendor_ID,Vendor_Name,Industry,Founded_Year,Headquarters,Country,Company_Size,Employee_Count,Annual_Revenue,Total_Products,Total_Customers,Market_Focus,Support_Model,Deployment_Model,Certification,Total_Revenue,Average_Contract_Value,Total_Licenses
PID-4D260C8A6574,V0001,Lopez Group,Enterprise Solutions,1994,Sullivanton,Togo,small,21,428439,2,52,B2B,24/7,Hybrid,SOC2,8984280,116678.96103896105,77
PID-51F80201604E,V0002,Strong-Lopez,Technology,1998,Delgadoview,Benin,large,2683,40431104,14,51,B2B,24/7,Cloud,,7609901,78452.58762886598,97
PID-89B080C9880F,V0003,"Williams, Burke and Barrera",Software,2017,Jonathanside,United States Virgin Islands,medium,220,2481442,5,41,B2C,24/7,Hybrid,,5476946,76068.69444444444,72
PID-AEC008AE561E,V0004,Cooper-Donovan,Technology,2013,New Molly,Macao,small,33,619965,2,42,B2C,24/7,Cloud,,8471742,132370.96875,64
PID-5343E8A0E646,V0005,"Lynch, Ramirez and Ward",Technology,2011,Port Shelly,British Indian Ocean Territory (Chagos Archipelago),small,37,950033,5,40,B2B2C,Business Hours,Hybrid,HIPAA,7031028,84711.18072289157,83
PID-D899CC8163A6,V0006,Taylor Ltd,Enterprise Solutions,1991,Michaelaton,Mongolia,small,13,742366,2,35,B2B,Community,Hybrid,,3635031,64911.267857142855,56
PID-86CA1BD78908,V0007,Roberts LLC,Cloud Services,2012,Lake Sarah,Northern Mariana Islands,small,8,956014,4,43,B2B,Business Hours,Hybrid,SOC2,6927860,78725.68181818182,88
PID-523DA70E9240,V0008,Martin Inc,Software,1998,New Mark,New Zealand,medium,59,6983410,10,39,B2C,Business Hours,Cloud,GDPR,4413144,58841.92,75
PID-CB2E3DBD76DA,V0009,Oconnor Inc,Cloud Services,2016,Port Wayneside,Liechtenstein,medium,278,6375692,5,36,B2B2C,Community,Hybrid,ISO27001,4308322,53189.16049382716,81
PID-DF73772041F9,V0010,Gilbert-Day,Cloud Services,2004,Tammyville,Saint Kitts and Nevis,medium,314,3634383,7,43,B2B2C,Business Hours,Cloud,ISO27001,7383243,92290.5375,80
PID-7A614BF2E993,V0011,"Chavez, Kim and Hernandez",Enterprise Solutions,1998,Tinafort,Mali,small,48,164963,3,51,B2C,Business Hours,Hybrid,GDPR,9751641,94676.12621359224,103
PID-F2E5A2774390,V0012,"Thompson, Gallegos and Tran",Software,2008,Carolinefurt,United Kingdom,large,2705,18136319,12,32,B2B2C,Business Hours,On-Premise,SOC2,7031744,106541.57575757576,66
PID-1D6598C16EEB,V0013,Bartlett Ltd,Software,1991,Huntertown,Algeria,medium,404,7605150,6,35,B2C,Community,On-Premise,GDPR,4561707,72408.04761904762,63
PID-3FAE76469A5A,V0014,Lewis-Nguyen,Technology,2001,Kimberlymouth,Pitcairn Islands,small,44,831424,2,49,B2B2C,Business Hours,Cloud,,2581796,36363.32394366197,71
PID-6F3D65A6C416,V0015,"Mendez, Allen and Smith",Cloud Services,2005,Gonzalesstad,Greenland,small,50,607003,2,38,B2B,24/7,On-Premise,ISO27001,6195763,105012.93220338984,59
PID-DCB96F64FCC2,V0016,Garcia Inc,Enterprise Solutions,2017,North Jenniferfurt,Holy See (Vatican City State),small,30,543265,5,34,B2B2C,Community,Cloud,,6925405,94868.56164383562,73
PID-1E6452AA9DDE,V0017,Brown-Reese,Enterprise Solutions,1999,South Jeffrey,Svalbard & Jan Mayen Islands,small,24,660184,4,44,B2B2C,24/7,On-Premise,SOC2,6361272,71474.96629213484,89
PID-7928BBE525A1,V0018,"Pearson, Harrell and Cummings",Software,2002,Singhport,Spain,small,40,918758,5,50,B2C,Business Hours,Cloud,ISO27001,3913252,39527.79797979798,99
PID-5FB2A37CA73E,V0019,Irwin-White,Cloud Services,2020,Thompsonburgh,Vietnam,small,25,174564,2,44,B2B2C,Business Hours,Cloud,GDPR,4214710,71435.7627118644,59
PID-E5F056F7BEDA,V0020,Rubio Group,Enterprise Solutions,1994,East Jonathonmouth,Turkmenistan,small,29,907301,4,41,B2C,Business Hours,Cloud,,7151224,77730.69565217392,92
PID-546E0E01BB26,V0021,Flores LLC,Enterprise Solutions,1991,Ellistown,Bulgaria,medium,428,6508136,8,39,B2B,Business Hours,On-Premise,HIPAA,7099692,88746.15,80
PID-B172B833401E,V0022,"Callahan, Monroe and Carson",Technology,1996,Sandersport,Australia,small,11,112692,5,31,B2B2C,Business Hours,Hybrid,SOC2,5636889,80526.9857142857,70
PID-0E2CD954C9A8,V0023,"Murray, Ortiz and Thompson",Software,1999,New Kristenside,Cuba,small,7,808574,4,40,B2C,Business Hours,Cloud,GDPR,6608347,81584.53086419753,81
PID-753E37C0DC0F,V0024,Obrien Ltd,Cloud Services,2008,South Heatherside,Comoros,small,29,171235,3,46,B2C,24/7,Cloud,HIPAA,6574951,77352.36470588236,85
PID-592139A3F550,V0025,Wright-Fischer,Technology,1997,Whitemouth,Comoros,small,32,269080,3,47,B2C,Business Hours,Hybrid,,9061714,105368.76744186046,86
PID-C07F4A145403,V0026,"Wheeler, Gomez and Howard",Technology,2006,Howardfurt,Iraq,medium,52,5060675,9,45,B2C,Community,On-Premise,HIPAA,7284391,80048.25274725274,91
PID-D8536B15D6BC,V0027,Salazar-Garrison,Enterprise Solutions,2018,Lake Bradleymouth,Falkland Islands (Malvinas),small,16,519767,5,40,B2B2C,24/7,Cloud,GDPR,5250992,60356.22988505747,87
PID-0D895722D978,V0028,"Williams, Palmer and Flynn",Enterprise Solutions,2011,Lake Kaitlyn,United Kingdom,small,15,640644,3,36,B2B2C,Business Hours,On-Premise,GDPR,4221852,58636.833333333336,72
PID-815B1DABF75C,V0029,Barton Group,Enterprise Solutions,1994,West Mindymouth,Egypt,small,49,370228,3,37,B2B2C,Community,Cloud,HIPAA,3050220,44856.17647058824,68
PID-2738ED39576F,V0030,"Klein, Anderson and Underwood",Enterprise Solutions,2003,Daniellestad,Bahrain,small,32,517829,4,38,B2B,Business Hours,On-Premise,,7718987,98961.3717948718,78
PID-E409F27F4F57,V0031,Rice Inc,Enterprise Solutions,2012,Millerhaven,Falkland Islands (Malvinas),medium,408,2097892,7,53,B2B,Business Hours,On-Premise,ISO27001,10789351,101786.33018867925,106
PID-9F78E7E96B2C,V0032,"Livingston, Rodriguez and Fisher",Software,1992,East Charles,Micronesia,small,16,483419,3,41,B2C,24/7,Hybrid,GDPR,7022583,92402.40789473684,76
PID-D4151E8D6679,V0033,"May, Foster and Martinez",Cloud Services,1992,Katieton,Netherlands Antilles,small,34,619587,4,41,B2B2C,Business Hours,On-Premise,SOC2,5393955,67424.4375,80
PID-C7AD0D5F64E2,V0034,"Spence, Powell and Bell",Technology,2020,East William,Mozambique,large,3217,71079562,19,45,B2C,Community,On-Premise,,7607064,86443.90909090909,88
PID-955178CFFD04,V0035,Johnson-Moyer,Software,2006,New Davidhaven,Angola,large,2297,75588970,12,39,B2B2C,24/7,On-Premise,SOC2,6044203,85129.61971830986,71
PID-91D8F36948C3,V0036,"Melton, Thomas and Robinson",Technology,2017,Christopherport,Tonga,medium,499,9011889,10,44,B2B2C,24/7,On-Premise,ISO27001,7138749,80210.66292134831,89
PID-63DFFC37FC26,V0037,Rodriguez-Casey,Cloud Services,1991,Lake Shawnside,Samoa,small,47,910411,3,31,B2B,Community,Cloud,,7828427,142335.03636363638,55
PID-C767CEEB8F87,V0038,Hill-Parker,Technology,2007,Robertburgh,Costa Rica,small,43,509126,3,43,B2B,24/7,Cloud,SOC2,5810992,65292.04494382023,89
PID-EE0CF973C166,V0039,Lamb-Hughes,Enterprise Solutions,1990,East Antonio,Panama,medium,257,8171386,10,47,B2B,24/7,Cloud,ISO27001,7921626,87050.83516483517,91
PID-33C817A6D173,V0040,Perez-Green,Software,1997,Juarezville,Comoros,small,48,798851,5,45,B2C,24/7,On-Premise,ISO27001,5612025,66023.82352941176,85
PID-614F955E400F,V0041,"Perez, Carpenter and Baker",Software,1997,Martinshire,Swaziland,small,25,587305,5,42,B2B2C,Community,Cloud,ISO27001,7278680,89860.24691358025,81
PID-3A2A7C073322,V0042,"Craig, Fuller and Garrett",Enterprise Solutions,2004,Rossbury,United States Virgin Islands,small,44,906040,3,38,B2B2C,24/7,On-Premise,SOC2,8077985,109161.95945945944,74
PID-7370A0EF9832,V0043,Sullivan Group,Technology,2003,Ryanborough,India,small,42,721660,2,30,B2C,24/7,On-Premise,,4511518,102534.5,44
PID-9E55A3160713,V0044,"Howard, Young and Burns",Technology,2005,Collinsside,Niue,large,3365,22725739,16,44,B2B2C,Community,Hybrid,SOC2,5226932,57438.81318681319,91
PID-A8A742B35AC1,V0045,Williams-Jacobson,Enterprise Solutions,2020,Robinsonbury,Honduras,small,17,399237,3,38,B2C,Business Hours,Cloud,ISO27001,8438660,112515.46666666666,75
PID-BF3F691554C3,V0046,Moore-Mullins,Cloud Services,2003,East Hollyview,Turks and Caicos Islands,medium,122,8246652,7,37,B2B,Community,Hybrid,,5031211,71874.44285714286,70
PID-411FE31FBAB4,V0047,Williams-Mcguire,Enterprise Solutions,2018,Lisastad,Romania,small,47,595490,3,36,B2B2C,24/7,On-Premise,GDPR,5503778,79764.89855072464,69
PID-9A9D05BE33E0,V0048,"Rivera, Houston and Chen",Cloud Services,1990,West Taylorport,India,small,40,742555,4,46,B2B,24/7,Hybrid,SOC2,7461867,79381.56382978724,94
PID-2D34E515AE5A,V0049,Cunningham-Dougherty,Technology,1998,North Steven,Marshall Islands,small,17,836533,2,48,B2B,Business Hours,Hybrid,ISO27001,4820664,70892.11764705883,68
PID-30BFCC21243E,V0050,Miller-Lopez,Technology,2003,New Kimberlytown,Holy See (Vatican City State),small,15,599231,5,38,B2B2C,24/7,Cloud,SOC2,4279498,54170.86075949367,79
